abs time (s),Fx,Fy,Fz,|Ft|,Ax,Ay,COM px,COM py,COM pz,Fx,Fy,Fz,|Ft|,Ax,Ay,COM px,COM py,COM pz
,N,N,N,N,m,m,N s,N s,N s,N,N,N,N,m,m,N s,N s,N s
0.025000,-0.822266,-0.971226,493.719121,493.720761,0.030297,-0.283486,0.026622,0.020421,12.346934,0.306040,0.657361,-9.202525,9.231048,0.000000,0.000000,-0.003047,-0.016533,-0.225500
0.025417,-0.741914,-0.608880,493.877734,493.878667,0.031017,-0.283547,0.026934,0.020705,12.552661,0.185861,0.737628,-9.834365,9.863741,0.000000,0.000000,-0.003147,-0.016821,-0.229477
0.025833,-0.701770,-0.689868,493.243786,493.244768,0.030650,-0.283902,0.027252,0.020984,12.758224,0.386055,0.536643,-8.729625,8.754620,0.000000,0.000000,-0.003282,-0.017073,-0.233169
0.026250,-1.023113,-0.649692,493.245746,493.247235,0.030818,-0.284129,0.027658,0.021263,12.963808,0.225962,0.737586,-8.415162,8.450446,0.000000,0.000000,-0.003377,-0.017363,-0.236741
0.026667,-1.063194,-0.730171,494.191037,494.192720,0.030630,-0.284024,0.028093,0.021579,13.169546,0.065933,0.697473,-9.043247,9.070343,0.000000,0.000000,-0.003412,-0.017657,-0.240531
0.027083,-0.982906,-0.971481,492.614713,492.616651,0.029777,-0.284681,0.028511,0.021950,13.374912,0.025894,0.697431,-9.989879,10.014228,0.000000,0.000000,-0.003459,-0.017944,-0.244529
0.027500,-1.023050,-0.730044,492.614711,492.616314,0.030588,-0.284260,0.028940,0.022268,13.580211,0.506108,0.657319,-8.573123,8.613167,0.000000,0.000000,-0.003629,-0.018227,-0.248287
0.027917,-1.103528,-0.689868,493.245726,493.247443,0.030826,-0.283229,0.029400,0.022561,13.785731,0.386055,0.737670,-9.832084,9.867273,0.000000,0.000000,-0.003798,-0.018503,-0.252274
0.028333,-1.184007,-0.730044,493.876754,493.878713,0.030527,-0.283981,0.029868,0.022851,13.991403,0.385866,0.376109,-9.511591,9.526842,0.000000,0.000000,-0.003942,-0.018693,-0.256315
0.028750,-0.902491,-0.569468,492.930964,492.932119,0.030824,-0.283646,0.030272,0.023119,14.196933,0.145948,0.496615,-10.304655,10.317647,0.000000,0.000000,-0.004039,-0.018898,-0.260400
0.029167,-1.023113,-0.850954,494.032905,494.034697,0.030434,-0.283766,0.030679,0.023446,14.402682,0.425967,0.576967,-8.096970,8.128669,0.000000,0.000000,-0.004194,-0.019141,-0.263906
0.029583,-0.862410,-0.730044,493.718136,493.719429,0.030300,-0.282617,0.031049,0.023770,14.608475,0.385929,0.697558,-7.785427,7.826136,0.000000,0.000000,-0.004347,-0.019415,-0.267291
0.030000,-0.862473,-0.891002,494.509732,494.511287,0.030455,-0.283824,0.031417,0.024113,14.814432,0.225899,0.576967,-9.516819,9.536969,0.000000,0.000000,-0.004443,-0.019669,-0.271093
0.030417,-0.982842,-0.649692,494.033397,494.034802,0.030429,-0.284011,0.031818,0.024403,15.020280,0.106035,0.657403,-8.888570,8.913478,0.000000,0.000000,-0.004488,-0.019940,-0.274840
0.030833,-0.982906,-0.689487,493.561487,493.562947,0.030525,-0.283719,0.032214,0.024685,15.225952,-0.014082,0.697600,-8.884818,8.912173,0.000000,0.000000,-0.004510,-0.020242,-0.278564
0.031250,-0.782185,-0.649438,493.405321,493.406369,0.030177,-0.283252,0.032556,0.024961,15.431592,0.266001,0.898332,-9.200880,9.248456,0.000000,0.000000,-0.004576,-0.020574,-0.282387
0.031667,-0.822138,-0.689868,494.033901,494.035066,0.030279,-0.284453,0.032902,0.025262,15.637385,-0.094034,0.496531,-9.362435,9.376064,0.000000,0.000000,-0.004581,-0.020809,-0.286222
0.032083,-0.902808,-0.930923,493.876262,493.877965,0.030632,-0.283960,0.033289,0.025642,15.843112,0.186049,0.496531,-8.575886,8.592263,0.000000,0.000000,-0.004634,-0.021036,-0.289872
0.032500,-1.143672,-1.052087,492.929988,492.932438,0.030716,-0.284268,0.033729,0.026047,16.048642,0.105972,0.777867,-8.887101,8.921708,0.000000,0.000000,-0.004689,-0.021349,-0.293608
0.032917,-0.862473,-0.689232,494.034870,494.036103,0.030685,-0.284230,0.034114,0.026365,16.254457,0.186049,0.898247,-9.681124,9.724486,0.000000,0.000000,-0.004766,-0.021703,-0.297532
0.033333,-0.942761,-0.770092,494.665898,494.667396,0.030118,-0.283634,0.034521,0.026691,16.460414,0.265938,0.737713,-8.887742,8.922270,0.000000,0.000000,-0.004866,-0.022022,-0.301290
0.033750,-1.224088,-0.930796,493.087124,493.089522,0.031051,-0.283855,0.034989,0.027060,16.666065,0.185861,0.737628,-8.882683,8.915195,0.000000,0.000000,-0.004935,-0.022326,-0.305035
0.034167,-0.902427,-0.810778,494.350135,494.351623,0.030536,-0.283812,0.035404,0.027397,16.871869,-0.014019,0.697389,-9.515009,9.540543,0.000000,0.000000,-0.004954,-0.022625,-0.308945
0.034583,-1.143610,-0.689868,493.088599,493.090408,0.030773,-0.284103,0.035866,0.027685,17.077399,0.146073,0.777867,-9.358853,9.392260,0.000000,0.000000,-0.004985,-0.022933,-0.312833
0.035000,-1.183944,-0.568831,492.930972,492.932722,0.030317,-0.284990,0.036346,0.027927,17.282842,-0.134072,0.617122,-9.042446,9.064471,0.000000,0.000000,-0.004968,-0.023212,-0.316645
0.035417,-1.023177,-0.528656,493.561978,493.563322,0.030663,-0.283288,0.036783,0.028170,17.488459,0.145696,0.777825,-9.360972,9.394362,0.000000,0.000000,-0.005001,-0.023536,-0.320556
0.035833,-1.023177,-0.810396,493.719121,493.720846,0.030588,-0.284847,0.037207,0.028494,17.694286,0.025894,0.938613,-9.833053,9.877783,0.000000,0.000000,-0.005025,-0.023902,-0.324555
0.036250,-0.982906,-0.890874,495.456507,495.458283,0.030275,-0.282612,0.037627,0.028859,17.900484,0.106035,0.737755,-8.886919,8.918119,0.000000,0.000000,-0.005064,-0.024232,-0.328433
0.036667,-1.103592,-0.891002,493.720113,493.722150,0.030595,-0.283494,0.038065,0.029233,18.106311,0.105846,0.858177,-10.459857,10.495536,0.000000,0.000000,-0.005125,-0.024570,-0.332649
0.037083,-0.902681,-0.931178,493.560512,493.562215,0.030785,-0.283247,0.038469,0.029619,18.312071,0.345827,0.697431,-9.989866,10.020151,0.000000,0.000000,-0.005249,-0.024872,-0.336691
0.037500,-1.103528,-0.931560,494.981646,494.983752,0.030384,-0.283660,0.038898,0.029990,18.518247,0.305914,0.697473,-7.784951,7.822117,0.000000,0.000000,-0.005360,-0.025165,-0.340153
0.037917,-0.862473,-0.689868,495.456012,495.457243,0.030797,-0.281966,0.039260,0.030294,18.724545,0.025579,0.737543,-8.724415,8.755572,0.000000,0.000000,-0.005393,-0.025470,-0.343701
0.038333,-0.661626,-0.689995,493.878230,493.879155,0.030339,-0.284879,0.039569,0.030593,18.930470,0.066059,0.737586,-8.414504,8.447027,0.000000,0.000000,-0.005426,-0.025774,-0.347317
